,id,priceLabel,name,brandId,brandName,imageLink,desc,vendor,print,material,cashmere
1423,428761698,85.0,Polo Ralph Lauren Silk Faille Pre-Tied Bow Tie,462,Polo Ralph Lauren,http://bim.shopstyle.com/pim/41/56/4156c7e843defa99e95469f6736ea88f_best.jpg,"Expertly crafted from Italian silk faille for a subtle sheen and ribbed texture, a classic solid bow tie epitomizes dignified style. <ul> <li>A metal slide adjuster and hook back offer the utmost ease for a custom fit.</li> <li>100% silk. Dry clean. Made in Italy.</li> </ul>",Ralph Lauren,_solid,_silk,False
1435,339739955,125.0,Polo Ralph Lauren Solid Silk Repp Tie,462,Polo Ralph Lauren,http://bim.shopstyle.com/pim/2e/0a/2e0aedff319cc20261bcaf836310c82b_best.jpg,"Crafted from rich silk repp, this solid-hued tie is a wardrobe essential. <ul> <li>Handmade with a fully fitted interlining.</li> <li>Tip is lined with pure silk twill, which is a hallmark of superior necktie construction.</li> <li>3½"" wide. 100% silk. Dry clean. Imported.</li> </ul>",Ralph Lauren,_solid,_silk,False
1436,443998109,215.0,Ralph Lauren Purple Label Solid Silk Satin Tie,12668,Ralph Lauren Purple Label,http://bim.shopstyle.com/pim/74/ac/74ac2329063cd45e15ccc8ee6e83420d_best.jpg,"Expertly handmade in Italy, this solid tie is crafted from rich, lustrous silk satin. <ul> <li>Handmade in Italy exclusively for Purple Label.</li> <li>A fully fitted interlining ensures a beautiful drape and a smooth, even knot.</li> <li>Silk twill-lined tip, which is a hallmark of superior necktie construction.</li> <li>3¼"" wide. 100% silk. Dry clean. Made in Italy.</li> </ul>",Ralph Lauren,_solid,_silk,False
1489,445304021,55.0,Kenneth Cole Reaction Solid Slim Tie,322,Kenneth Cole Reaction,http://bim.shopstyle.com/pim/be/2b/be2b20fbbb91f866a8e4baa3f1bf1918_best.jpg,"No frills. Keep it simple and sleek with this slim, solid tie from Kenneth Cole Reaction. <ul> <li>Silk</li> <li>Dry clean</li> <li>Imported</li> <li>Kenneth Cole Reaction solid silk tie</li> <li>Slim design</li> <li>2 3/4'' wide</li> </ul>",Macy's,_solid,_silk,False
1502,458732355,59.5,Lauren Ralph Lauren Ascot Silk Tie,338,Lauren Ralph Lauren,http://bim.shopstyle.com/pim/ee/1a/ee1a360e35b522b137bd8f934727ce9e_best.jpg,"This impeccably tailored tie is crafted from smooth silk satin. <ul> <li>Silk</li> <li>Dry clean</li> <li>Imported</li> <li>Lauren Ralph Lauren solid silk tie</li> <li>Handmade with a fully fitted interlining to ensure a beautiful drape and a smooth, even knot</li> <li>The tip is lined with pure silk twill, which is a hallmark of Ralph Lauren's superior necktie construction</li> <li>3 1/4'' wide</li> </ul>",Macy's,_solid,_silk,False
1514,449026393,65.0,Tommy Hilfiger Core Oxford Solid Tie,585,Tommy Hilfiger,http://bim.shopstyle.com/pim/ae/55/ae555b5d3d794a9491d11756dcb5d18a_best.jpg,Streamline your tailored style with this classic solid silk tie from Tommy Hilfiger. <ul> <li>Silk</li> <li>Imported</li> <li>Tommy Hilfiger oxford solid tie</li> <li>Classic</li> <li>3 1/8'' wide</li> </ul>,Macy's,_solid,_silk,False
1515,440199394,55.0,Penguin Baron Solid Logo Skinny Tie,1803,Penguin,http://bim.shopstyle.com/pim/a5/47/a547cf4a51d30df7f0b06f2da1e7e035_best.jpg,Just the right amount of character. Highlight classic suiting with this solid logo tie from Penguin. <ul> <li>Silk</li> <li>Dry clean</li> <li>Imported</li> <li>Penguin solid silk tie</li> <li>Embroidered logo at front</li> <li>2 1/4'' wide</li> </ul>,Macy's,_solid,_silk,False
1527,430436782,55.0,Perry Ellis Jewel Solid Slim Tie,454,Perry Ellis,http://bim.shopstyle.com/pim/7a/4b/7a4b68147e07acb1a043496365b76ee2_best.jpg,"The perfect blend of pure color and luxe silk. Make a confident statement with a solid jewel-toned tie from Perry Ellis. <ul> <li>Silk</li> <li>Dry clean</li> <li>Imported</li> <li>Perry Ellis solid silk tie</li> <li>3'' wide</li> <li>slim, 3"" width</li> <li>Perry Ellis Portfolio</li> </ul>",Macy's,_solid,_silk,False
1530,457512211,49.5,Alfani RED Reversible Neat To Solid Skinny Tie,20,Alfani,http://bim.shopstyle.com/pim/56/79/56791c8fe43884e9b3456dbfcd20b289_best.jpg,Solid or pattern? It's your choice with this handsome silk tie from Alfani RED. <ul> <li>Silk</li> <li>Dry clean</li> <li>Imported</li> <li>Alfani RED neat silk tie</li> <li>Skinny design</li> <li>Reversible to solid</li> <li>2 1/2'' wide</li> <li>Includes tie bar</li> </ul>,Macy's,_solid,_silk,False
1533,270635751,49.5,Alfani RED Solid Sateen Skinny Tie,20,Alfani,http://bim.shopstyle.com/pim/3f/b5/3fb5a9631e1c6d90ab860bd8bf1ba567_best.jpg,"Take a shine to this sleek sateen skinny tie from Alfani RED. <ul> <li>Polyester</li> <li>Dry clean</li> <li>Imported</li> <li>Alfani RED 1-1/2"" skinny tie</li> <li>Sateen solid</li> <li>Comes with a tie bar</li> </ul>",Macy's,_solid,unknown,False
